ID,name,wmoID,stationId,time,pressure,windDir,windSpeed,windGust,windGustDir,temp,dewPoint,humidity,period,height,waveDir,seaTemp,reportDate,reportTime,updated_At,created_at
649761,M6,62095,,"3 Mar 23:00",1032.8,144,20,0,,10.4,3.7,63,7.9,2.7,,11.2,03-03-2023,23:00,"2023-03-03 23:20:49",2023-03-03T23:20:49.000000Z
649769,M6,62095,,"4 Mar 0:00",1033.1,162,19,0,,10.3,3.8,64,7.7,2.8,,11.2,04-03-2023," 0:00","2023-03-04 00:21:47",2023-03-04T00:21:47.000000Z
649777,M6,62095,,"4 Mar 1:00",1033.0,133,17,0,,10.3,3.3,62,7.5,2.6,,11.2,04-03-2023," 1:00","2023-03-04 01:21:47",2023-03-04T01:21:47.000000Z
649785,M6,62095,,"4 Mar 2:00",1032.8,137,15,0,,10.4,3.7,63,7.5,2.4,,11.2,04-03-2023," 2:00","2023-03-04 02:21:52",2023-03-04T02:21:52.000000Z
649793,M6,62095,,"4 Mar 3:00",1032.1,150,20,0,,10.2,3.2,62,7.6,2.5,,11.2,04-03-2023," 3:00","2023-03-04 03:21:02",2023-03-04T03:21:02.000000Z
649801,M6,62095,,"4 Mar 4:00",1031.9,148,26,0,,10.0,3.1,62,7.4,2.3,,11.2,04-03-2023," 4:00","2023-03-04 04:21:31",2023-03-04T04:21:31.000000Z
649809,M6,62095,,"4 Mar 5:00",1032.2,151,20,0,,10.0,1.6,56,7.0,2.4,,11.2,04-03-2023," 5:00","2023-03-04 05:30:20",2023-03-04T05:30:20.000000Z
649817,M6,62095,,"4 Mar 6:00",1032.4,140,19,0,,9.8,2.4,60,8.1,2.9,,11.1,04-03-2023," 6:00","2023-03-04 06:29:29",2023-03-04T06:29:29.000000Z
649825,M6,62095,,"4 Mar 7:00",1032.4,109,17,0,,9.8,1.2,55,8.0,2.7,,11.2,04-03-2023," 7:00","2023-03-04 07:22:57",2023-03-04T07:22:57.000000Z
649833,M6,62095,,"4 Mar 8:00",1032.6,113,22,0,,9.8,1.4,56,8.8,3.0,,11.2,04-03-2023," 8:00","2023-03-04 08:21:59",2023-03-04T08:21:59.000000Z
649841,M6,62095,,"4 Mar 9:00",1032.8,123,28,0,,9.5,1.6,58,8.6,2.7,,11.1,04-03-2023," 9:00","2023-03-04 09:21:36",2023-03-04T09:21:36.000000Z
649849,M6,62095,,"4 Mar 10:00",1033.2,132,19,0,,9.5,1.4,57,8.3,2.7,,11.1,04-03-2023,10:00,"2023-03-04 10:22:11",2023-03-04T10:22:11.000000Z
649857,M6,62095,,"4 Mar 11:00",1033.0,114,26,0,,9.3,1.5,58,9.0,3.0,,11.2,04-03-2023,11:00,"2023-03-04 11:21:26",2023-03-04T11:21:26.000000Z
649865,M6,62095,,"4 Mar 12:00",1032.8,133,24,0,,9.2,1.8,60,8.9,3.0,,11.2,04-03-2023,12:00,"2023-03-04 12:27:27",2023-03-04T12:27:27.000000Z
649873,M6,62095,,"4 Mar 13:00",1032.4,123,20,0,,9.1,0.8,56,10.3,3.8,,11.2,04-03-2023,13:00,"2023-03-04 13:21:17",2023-03-04T13:21:17.000000Z
649881,M6,62095,,"4 Mar 14:00",1031.9,113,20,0,,8.8,1.2,59,10.1,3.5,,11.2,04-03-2023,14:00,"2023-03-04 14:21:58",2023-03-04T14:21:58.000000Z
649889,M6,62095,,"4 Mar 15:00",1031.3,116,17,0,,8.6,1.0,59,10.2,3.6,,11.2,04-03-2023,15:00,"2023-03-04 15:20:24",2023-03-04T15:20:24.000000Z
649897,M6,62095,,"4 Mar 16:00",1030.9,112,15,0,,8.7,1.8,62,10.1,3.4,,11.2,04-03-2023,16:00,"2023-03-04 16:21:51",2023-03-04T16:21:51.000000Z
649905,M6,62095,,"4 Mar 17:00",1031.0,114,17,0,,8.7,1.1,59,9.7,3.4,,11.2,04-03-2023,17:00,"2023-03-04 17:29:13",2023-03-04T17:29:13.000000Z
649913,M6,62095,,"4 Mar 18:00",1030.8,86,13,0,,8.6,0.6,57,10.1,3.3,,11.2,04-03-2023,18:00,"2023-03-04 18:29:16",2023-03-04T18:29:16.000000Z
649921,M6,62095,,"4 Mar 19:00",1030.5,120,11,0,,8.7,1.1,59,11.0,4.0,,11.2,04-03-2023,19:00,"2023-03-04 19:26:34",2023-03-04T19:26:34.000000Z
649929,M6,62095,,"4 Mar 20:00",1030.3,118,17,0,,8.7,0.9,58,10.4,3.5,,11.1,04-03-2023,20:00,"2023-03-04 20:21:40",2023-03-04T20:21:40.000000Z
649937,M6,62095,,"4 Mar 21:00",1030.2,110,17,0,,8.7,0.4,56,10.2,3.0,,11.1,04-03-2023,21:00,"2023-03-04 21:21:07",2023-03-04T21:21:07.000000Z
649945,M6,62095,,"4 Mar 22:00",1030.0,103,20,0,,8.8,1.9,62,9.8,3.2,,11.1,04-03-2023,22:00,"2023-03-04 22:21:31",2023-03-04T22:21:31.000000Z
649953,M6,62095,,"4 Mar 23:00",1029.8,106,19,0,,8.7,0.4,56,9.8,2.9,,11.1,04-03-2023,23:00,"2023-03-04 23:21:14",2023-03-04T23:21:14.000000Z
